Bin,Frequency
148,1
153,1
160,1
161,1
162,1
163,1
164,2
164,0
166,2
166,0
167,3
167,0
167,0
168,5
168,0
168,0
168,0
168,0
169,2
169,0
171,2
171,0
172,2
172,0
173,3
173,0
173,0
174,6
174,0
174,0
174,0
174,0
174,0
175,2
175,0
176,2
176,0
177,2
177,0
178,4
178,0
178,0
178,0
180,3
180,0
180,0
181,2
181,0
182,4
182,0
182,0
182,0
183,4
183,0
183,0
183,0
184,3
184,0
184,0
185,2
185,0
186,5
186,0
186,0
186,0
186,0
187,5
187,0
187,0
187,0
187,0
188,5
188,0
188,0
188,0
188,0
189,4
189,0
189,0
189,0
190,2
190,0
191,4
191,0
191,0
191,0
192,4
192,0
192,0
192,0
193,2
193,0
194,3
194,0
194,0
195,3
195,0
195,0
196,3
196,0
196,0
197,4
197,0
197,0
197,0
198,3
198,0
198,0
199,2
199,0
200,5
200,0
200,0
200,0
200,0
201,3
201,0
201,0
202,2
202,0
203,1
204,4
204,0
204,0
204,0
206,3
206,0
206,0
207,3
207,0
207,0
208,1
210,1
211,2
211,0
212,3
212,0
212,0
213,1
214,6
214,0
214,0
214,0
214,0
214,0
216,2
216,0
217,2
217,0
218,3
218,0
218,0
219,1
220,1
221,3
221,0
221,0
222,1
224,2
224,0
225,3
225,0
225,0
228,2
228,0
229,1
230,1
232,1
233,2
233,0
236,1
237,1
239,2
239,0
242,1
243,2
243,0
245,1
246,3
246,0
246,0
247,1
248,1
249,1
250,1
251,1
252,2
252,0
253,3
253,0
253,0
256,1
257,3
257,0
257,0
258,1
260,1
262,2
262,0
263,1
265,1
266,2
266,0
268,1
270,1
273,1
274,1
275,1
276,2
276,0
278,1
281,1
285,2
285,0
286,1
291,1
293,1
294,1
296,2
296,0
298,1
304,1
313,1
320,1
652,1
661,1
688,1
689,1
691,2
691,0
699,1
703,1
706,1
712,1
714,1
717,2
717,0
718,1
719,1
721,1
723,1
727,1
735,1
737,1
738,1
739,1
742,1
744,1
748,1
749,1
750,1
753,1
760,1
762,2
762,0
768,1
More,0
